2021-11-22 10:02:10,801 - Using cpu
2021-11-22 10:02:10,814 - Loading all data to memory...
2021-11-22 10:02:16,567 - Save all features data into /home/huynhhao/Desktop/hum/data/cached_features/train
2021-11-22 10:29:28,021 - Using cpu
2021-11-22 10:29:28,030 - Loading all data to memory...
2021-11-22 10:29:49,237 - Key Conflicting at 1078187637_song, ignore new sample
2021-11-22 10:29:49,237 - Key conflicting at 1078187637_hum, ignore new sample
2021-11-22 10:29:49,237 - Key Conflicting at 1078187638_song, ignore new sample
2021-11-22 10:29:49,237 - Key conflicting at 1078187638_hum, ignore new sample
2021-11-22 10:29:49,237 - Key Conflicting at 1078187639_song, ignore new sample
2021-11-22 10:29:49,237 - Key conflicting at 1078187639_hum, ignore new sample
2021-11-22 10:29:49,237 - Key Conflicting at 1078187640_song, ignore new sample
2021-11-22 10:29:49,237 - Key conflicting at 1078187640_hum, ignore new sample
2021-11-22 10:29:49,237 - Key Conflicting at 1078187641_song, ignore new sample
2021-11-22 10:29:49,238 - Key conflicting at 1078187641_hum, ignore new sample
2021-11-22 10:29:49,238 - Key Conflicting at 1078187642_song, ignore new sample
2021-11-22 10:29:49,238 - Key conflicting at 1078187642_hum, ignore new sample
2021-11-22 10:29:49,238 - Key Conflicting at 1078187643_song, ignore new sample
2021-11-22 10:29:49,238 - Key conflicting at 1078187643_hum, ignore new sample
2021-11-22 10:29:49,238 - Key Conflicting at 1078187644_song, ignore new sample
2021-11-22 10:29:49,238 - Key conflicting at 1078187644_hum, ignore new sample
2021-11-22 10:29:49,238 - Key Conflicting at 1078187645_song, ignore new sample
2021-11-22 10:29:49,238 - Key conflicting at 1078187645_hum, ignore new sample
2021-11-22 10:29:50,285 - Key Conflicting at 1076248660_song, ignore new sample
2021-11-22 10:29:50,285 - Key conflicting at 1076248660_hum, ignore new sample
2021-11-22 10:29:50,285 - Key Conflicting at 1076248661_song, ignore new sample
2021-11-22 10:29:50,285 - Key conflicting at 1076248661_hum, ignore new sample
2021-11-22 10:29:50,285 - Key Conflicting at 1076248662_song, ignore new sample
2021-11-22 10:29:50,285 - Key conflicting at 1076248662_hum, ignore new sample
2021-11-22 10:29:50,285 - Key Conflicting at 1076248663_song, ignore new sample
2021-11-22 10:29:50,285 - Key conflicting at 1076248663_hum, ignore new sample
2021-11-22 10:29:50,286 - Key Conflicting at 1076248664_song, ignore new sample
2021-11-22 10:29:50,286 - Key conflicting at 1076248664_hum, ignore new sample
2021-11-22 10:29:50,286 - Key Conflicting at 1076248665_song, ignore new sample
2021-11-22 10:29:50,286 - Key conflicting at 1076248665_hum, ignore new sample
2021-11-22 10:29:50,286 - Key Conflicting at 1076248666_song, ignore new sample
2021-11-22 10:29:50,286 - Key conflicting at 1076248666_hum, ignore new sample
2021-11-22 10:29:50,286 - Key Conflicting at 1076248667_song, ignore new sample
2021-11-22 10:29:50,286 - Key conflicting at 1076248667_hum, ignore new sample
2021-11-22 10:29:50,286 - Key Conflicting at 1076248668_song, ignore new sample
2021-11-22 10:29:50,286 - Key conflicting at 1076248668_hum, ignore new sample
2021-11-22 10:30:20,991 - Key Conflicting at 1075369860_song, ignore new sample
2021-11-22 10:30:20,991 - Key conflicting at 1075369860_hum, ignore new sample
2021-11-22 10:30:20,992 - Key Conflicting at 1075369861_song, ignore new sample
2021-11-22 10:30:20,992 - Key conflicting at 1075369861_hum, ignore new sample
2021-11-22 10:30:20,992 - Key Conflicting at 1075369862_song, ignore new sample
2021-11-22 10:30:20,992 - Key conflicting at 1075369862_hum, ignore new sample
2021-11-22 10:30:20,992 - Key Conflicting at 1075369863_song, ignore new sample
2021-11-22 10:30:20,992 - Key conflicting at 1075369863_hum, ignore new sample
2021-11-22 10:30:20,992 - Key Conflicting at 1075369864_song, ignore new sample
2021-11-22 10:30:20,992 - Key conflicting at 1075369864_hum, ignore new sample
2021-11-22 10:30:20,992 - Key Conflicting at 1075369865_song, ignore new sample
2021-11-22 10:30:20,992 - Key conflicting at 1075369865_hum, ignore new sample
2021-11-22 10:30:20,992 - Key Conflicting at 1075369866_song, ignore new sample
2021-11-22 10:30:20,992 - Key conflicting at 1075369866_hum, ignore new sample
2021-11-22 10:30:20,992 - Key Conflicting at 1075369867_song, ignore new sample
2021-11-22 10:30:20,993 - Key conflicting at 1075369867_hum, ignore new sample
2021-11-22 10:30:20,993 - Key Conflicting at 1075369868_song, ignore new sample
2021-11-22 10:30:20,993 - Key conflicting at 1075369868_hum, ignore new sample
2021-11-22 10:30:30,179 - Key Conflicting at 1076304285_song, ignore new sample
2021-11-22 10:30:30,179 - Key conflicting at 1076304285_hum, ignore new sample
2021-11-22 10:30:30,179 - Key Conflicting at 1076304286_song, ignore new sample
